fixture_id,team_news_summary,injuries_suspensions,predicted_lineup_notes,motivation_group_state,weather_venue_notes,source_urls,accessed_at,confidence
2026-06-26-nor-fra,"Norway opened with a 4-1 win over Iraq, led by two Erling Haaland goals and a Leo Ostigard goal; France beat Senegal 3-1, with Kylian Mbappe scoring twice. Their June 22 second matches had not been played by the June 21 cutoff, so later form and team news were unavailable.","No match-specific confirmed Norway or France injury absence was found by the cutoff. France defender William Saliba was reported to be managing persistent niggles while continuing to play; his June 26 availability was unavailable. Confirmed suspensions: unavailable because the June 22 matches could still create them.","No confirmed XI was available. Norway's established attacking structure centers on Haaland with Martin Odegaard supplying chances; Ostigard had started and scored against Iraq. France's opening-match attack was led by Mbappe, while Bradley Barcola was a plausible option after scoring as a substitute; changes after the intervening June 22 match were unknowable at the cutoff.","Group I as of June 21: Norway 3 pts, GD +3; France 3 pts, GD +2; Senegal 0, Iraq 0. Both teams still had June 22 matches, so the exact qualification requirement and rotation incentive for this final fixture were unavailable. The match was positioned to have first-place significance, but that was not yet guaranteed.","Boston Stadium is the open-air Gillette Stadium in Foxborough, with a 15:00 local kickoff. Late-June heat or storms are possible, but a reliable match-time forecast for June 26 and any heat-protocol decision were unavailable by the cutoff.","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.theguardian.com/football/live/2026/jun/16/iraq-v-norway-world-cup-2026-live | https://www.managingmadrid.com/real-madrid-cf-players/109066/kylian-mbappe-becomes-frances-record-goalscorer-to-beat-senegal | https://www.theguardian.com/football/2026/jun/21/england-declan-rice-hamstring-nerve-pain-arsenal-schedule-world-cup | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide","2026-06-21T23:59:00-05:00",medium
2026-06-26-sen-irq,"Senegal lost 3-1 to France in their opener. Iraq lost 4-1 to Norway after equalizing and producing a spell of pressure before Norway pulled away. Their June 22 second matches had not been played by the cutoff; reliable later team news was unavailable.","Match-specific confirmed injuries for Senegal or Iraq were unavailable. Confirmed suspensions were also unavailable because cards or dismissals in the intervening June 22 matches could affect June 26.","No confirmed XI was available. Senegal changes after the France defeat were unavailable. Iraq's opener showed they could press and create against Norway, but the goalkeeper error that restored Norway's lead and subsequent defensive concessions could prompt changes; personnel and formation were unconfirmed.","Group I as of June 21: Senegal 0 pts, GD -2; Iraq 0 pts, GD -3. Both still had June 22 matches, so the exact final-round qualification state was unavailable. At the cutoff both needed points in match two to avoid arriving in Toronto near elimination; June 26 could still decide second or a best-third-place route.","Toronto Stadium is the expanded, open-air BMO Field, with a 15:00 local kickoff. A reliable match-time forecast for June 26 was unavailable by the cutoff.","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.theguardian.com/football/live/2026/jun/16/iraq-v-norway-world-cup-2026-live | https://www.nypost.com/2026/06/10/sports/world-cup-2026-group-i-preview-prediction-odds-full-team-overviews/ | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide","2026-06-21T23:59:00-05:00",medium-low
2026-06-26-uru-esp,"Uruguay drew 1-1 with Saudi Arabia and then 2-2 with Cape Verde, surrendering an equalizer after a Fernando Muslera error; Marcelo Bielsa criticized Uruguay's disorganization. Spain followed a 0-0 draw with Cape Verde by beating Saudi Arabia 4-0, with Lamine Yamal and Mikel Oyarzabal driving a much sharper attack.","Spain: Yamal returned from a hamstring injury, started and scored against Saudi Arabia; his removal was workload management and Luis de la Fuente said he was in perfect condition. Uruguay: no match-specific confirmed injury absence was found. Confirmed suspensions for either team were unavailable; Rodrigo Bentancur was booked against Cape Verde, but cumulative-ban status was not established in the reviewed sources.","Spain could retain the Saudi Arabia core of Yamal, Oyarzabal, Dani Olmo, Rodri and Pau Cubarsi, though Yamal's minutes may still be managed; no XI was confirmed. Uruguay are likely to retain Federico Valverde as the midfield reference, but Bielsa may alter the defence or goalkeeper after the Cape Verde errors; any change is unconfirmed.","Group H after two matches: Spain 4 pts, GD +4; Uruguay 2 pts, GD 0; Cape Verde 2 pts, GD 0; Saudi Arabia 1 pt, GD -4. Spain advance with a draw and can win the group. Uruguay guarantee advancement with a win; a draw leaves them dependent on Cape Verde-Saudi Arabia, goals scored and potentially the best-third-place table.","Guadalajara Stadium is the open-air Estadio Akron in Zapopan, at roughly 1,500 metres elevation. Kickoff is 18:00 local. A reliable match-time forecast for June 26 was unavailable by the cutoff.","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.theguardian.com/football/2026/jun/22/cape-verde-uruguay-world-cup-group-h-match-report | https://www.theguardian.com/football/2026/jun/21/spain-saudi-arabia-world-cup-group-h-match-report | https://www.barcablaugranes.com/world-cup-2026/124276/im-here-lamine-yamal-bites-back-at-saudi-fans-after-scoring-in-spain-win-at-world-cup-2026 | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide","2026-06-21T23:59:00-05:00",high
2026-06-26-cpv-ksa,"Cape Verde produced consecutive draws with Spain (0-0) and Uruguay (2-2), scoring their first World Cup goals through Kevin Pina and Helio Varela and leaning on goalkeeper Vozinha. Saudi Arabia drew 1-1 with Uruguay before losing 4-0 to Spain.","No match-specific confirmed Cape Verde or Saudi Arabia injury absence was found. Confirmed suspensions for either team were unavailable.","Cape Verde are expected to retain their compact, disciplined structure with Vozinha in goal and Pina/Varela carrying increased attacking importance; no XI was confirmed. Saudi Arabia may change personnel after being overrun by Spain, but reliable predicted changes were unavailable.","Group H: Cape Verde 2 pts, GD 0; Saudi Arabia 1 pt, GD -4. Cape Verde guarantee advancement with a win; a draw may be enough for second if Uruguay lose, or for a best-third-place place depending on other groups. Saudi Arabia must win to reach four points and then compare the Spain-Uruguay result and tiebreakers.","Houston Stadium is NRG Stadium, a retractable-roof, climate-controlled venue, with a 19:00 local kickoff. Roof status and a reliable external forecast were unavailable by the cutoff, though a closed roof would sharply reduce direct heat and storm exposure.","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.theguardian.com/football/2026/jun/22/cape-verde-uruguay-world-cup-group-h-match-report | https://www.theguardian.com/football/2026/jun/21/spain-saudi-arabia-world-cup-group-h-match-report | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide","2026-06-21T23:59:00-05:00",high
2026-06-26-egy-irn,"Egypt drew 1-1 with Belgium and then earned their first World Cup victory, beating New Zealand 3-1 after a strong second half led by Mohamed Salah and Emam Ashour. Iran drew 2-2 with New Zealand and 0-0 with Belgium, defending resolutely while Alireza Beiranvand made a decisive close-range save.","Egypt coach Hossam Hassan denied reports of a rift with Salah; no confirmed player absence was found. Iran: no match-specific confirmed injury absence was found. Confirmed suspensions for either side were unavailable.","Egypt are likely to retain Salah, Ashour, Mostafa Ziko and Trezeguet after the comeback win, but no XI was confirmed. Iran are expected to preserve the compact defensive structure built around Beiranvand, Shoja Khalilzadeh and Mehdi Taremi; lineup changes were unavailable.","Group G: Egypt 4 pts, GD +2; Belgium 2 pts, GD 0; Iran 2 pts, GD 0; New Zealand 1 pt, GD -2. Egypt guarantee advancement with a draw and can win the group. Iran guarantee advancement with a win; a draw may qualify them depending on New Zealand-Belgium, goals scored and the best-third-place table.","Seattle Stadium is the open-air Lumen Field, with a 20:00 local kickoff. A reliable match-time forecast for June 26 was unavailable by the cutoff.","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.theguardian.com/football/live/2026/jun/22/fifa-world-cup-2026-live-new-zealand-v-egypt-updates-nzl-vs-egy-group-g-match-score-latest | https://www.theguardian.com/football/2026/jun/21/belgium-iran-world-cup-group-g-match-report | https://www.theguardian.com/football/live/2026/jun/21/world-cup-news-live-curacao-iran-spain-saudi-arabia-belgium-cape-verde-uruguay-new-zealand-egypt | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide","2026-06-21T23:59:00-05:00",high
2026-06-26-nzl-bel,"New Zealand followed a 2-2 draw with Iran by losing 3-1 to Egypt after taking the lead through Finn Surman. Belgium drew 1-1 with Egypt and 0-0 with Iran, producing high shot volume but little finishing and ending the Iran match with ten men.","Belgium: Nathan Ngoy is suspended after a direct red card against Iran. Jeremy Doku was reported to be planning a temporary departure around the birth of his child, but his June 26 availability was unavailable. New Zealand: no match-specific confirmed injury or suspension was found.","Belgium must replace Ngoy and may alter an attack in which Kevin De Bruyne, Romelu Lukaku and Jeremy Doku had not converted territorial control into enough goals; Doku's availability was unconfirmed. New Zealand are likely to retain Chris Wood as the focal point and Surman after his goal, but no confirmed XI was available.","Group G: Belgium 2 pts, GD 0; New Zealand 1 pt, GD -2. Belgium guarantee advancement with a win; a draw may be enough depending on Egypt-Iran and third-place comparisons. New Zealand must win to reach four points and then compare the parallel result and tiebreakers.","BC Place is an enclosed/retractable-roof venue, with a 19:00 local kickoff. Roof status and a reliable match-time forecast were unavailable; direct weather exposure is limited if the roof is closed.","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.theguardian.com/football/live/2026/jun/22/fifa-world-cup-2026-live-new-zealand-v-egypt-updates-nzl-vs-egy-group-g-match-score-latest | https://www.theguardian.com/football/2026/jun/21/belgium-iran-world-cup-group-g-match-report | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide","2026-06-21T23:59:00-05:00",high
2026-06-27-cro-gha,"Croatia lost 4-2 to England in their opener; Ghana beat Panama 1-0. Both had an intervening June 23 match after the cutoff, so form, cards and lineup developments entering June 27 were unavailable.","Croatia: no match-specific confirmed injury or suspension was found by the cutoff. Ghana: Thomas Partey missed the Canada-based opener because he was denied entry but was reported eligible for the June 23 match in the United States; his June 27 status was not a fitness issue but remained unavailable after the intervening game. Other injuries/suspensions: unavailable.","No confirmed XI was available. Croatia could retain its veteran midfield while addressing defensive problems exposed by England, but specific changes were unavailable. Ghana's Partey could become a midfield option in the United States; selection after the June 23 England match was unknowable at the cutoff.","Group L as of June 21: Ghana 3 pts, GD +1; Croatia 0 pts, GD -2. Ghana still had England and Croatia still had Panama on June 23, so the exact final-round qualification state was unavailable. This fixture could decide a top-two or best-third-place berth, but no precise points requirement was knowable.","Philadelphia Stadium is the open-air Lincoln Financial Field, with a 17:00 local kickoff. Late-June heat and thunderstorms can matter; a reliable match-time forecast was unavailable by the cutoff.","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.theguardian.com/football/2026/jun/21/thomas-partey-england-ghana-handshake | https://www.bavarianfootballworks.com/fifa-world-cup/218962/harry-kane-over-the-moon-to-reach-10-world-cup-goals-with-england | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide","2026-06-21T23:59:00-05:00",medium
2026-06-27-pan-eng,"Panama lost 1-0 to Ghana in their opener. England beat Croatia 4-2, with Harry Kane scoring twice. Their June 23 second matches had not occurred by the cutoff, so final-round team news was unavailable.","England: Tino Livramento was ruled out of the tournament with a calf injury and replaced by Trevoh Chalobah. Bukayo Saka was managing an Achilles issue; Declan Rice said he was fit despite neural pain in his upper hamstring/lower back; Marcus Rashford had returned to training after a minor muscular issue. Panama injuries were unavailable. Suspensions for June 27 were unavailable because of the June 23 matches.","England's right side was expected to feature Noni Madueke with Saka's minutes managed, while Rice was available and Kane was the central striker; rotation for the third match could not be assessed before June 23. Panama's confirmed XI and credible predicted changes were unavailable.","Group L as of June 21: England 3 pts, GD +2; Panama 0 pts, GD -1. Both had June 23 matches, so England's qualification/rotation incentive and Panama's survival requirement for June 27 were unavailable at the cutoff.","New York New Jersey Stadium is the open-air MetLife Stadium in East Rutherford, with a 17:00 local kickoff. Heat, humidity and thunderstorms are relevant seasonal risks, but a reliable match-time forecast was unavailable by the cutoff.","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.theguardian.com/football/2026/jun/21/england-declan-rice-hamstring-nerve-pain-arsenal-schedule-world-cup | https://www.theguardian.com/football/2026/jun/20/rashford-and-rice-give-england-boost-for-ghana-but-saka-set-for-bench-again | https://nypost.com/2026/06/16/sports/englands-tino-livramento-out-of-world-cup-in-injury-blow/ | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide","2026-06-21T23:59:00-05:00",high
2026-06-27-col-por,"Colombia beat Uzbekistan 3-1 in their opener; Portugal drew 1-1 with Congo DR. Colombia midfielder Juan Camilo Portilla suffered a family bereavement during camp, but the cited report did not say he left camp or was unavailable. Both teams had June 23 matches after the cutoff.","No match-specific confirmed injury or suspension for Colombia or Portugal was found by the cutoff. Portilla's bereavement is team news, not an injury, and his availability was unavailable. June 23 cards could create June 27 suspensions, so final suspension status was unavailable.","No confirmed XI was available. Colombia's primary attacking creators were Luis Diaz and James Rodriguez. Portugal's key selection question remained how Cristiano Ronaldo fit with Bruno Fernandes and a tactically flexible back-three/back-four structure. Changes after June 23 were unknowable.","Group K as of June 21: Colombia 3 pts, GD +2; Portugal 1 pt, GD 0. Colombia still had Congo DR and Portugal had Uzbekistan on June 23, so the exact first-place, qualification and rotation implications for June 27 were unavailable.","Miami Stadium is the open-air Hard Rock Stadium in Miami Gardens, with a 19:30 local kickoff. Heat, humidity and thunderstorms are material risks; a reliable match-time forecast was unavailable by the cutoff.","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.tropicanafm.com/2026/jugador-de-la-seleccion-colombia-tuvo-dolorosa-perdida-en-pleno-mundial-juro-hacerte-sentir-orgulloso-468348.html | https://www.nypost.com/2026/06/10/sports/world-cup-2026-group-k-preview-prediction-odds-full-team-overviews/ | https://www.starsandstripesfc.com/copa-america/44201/2026-world-cup-group-k-preview | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide","2026-06-21T23:59:00-05:00",medium
2026-06-27-cod-uzb,"Congo DR drew 1-1 with Portugal in their opener; Uzbekistan lost 3-1 to Colombia in their first World Cup match. Both had intervening June 23 matches after the cutoff, so current final-round form and team news were unavailable.","No match-specific confirmed injury or suspension for Congo DR or Uzbekistan was found by the cutoff. June 23 cards could create June 27 suspensions; final suspension status was unavailable.","No confirmed XI was available. Pre-tournament analysis identified Yoane Wissa as Congo DR's key forward. Uzbekistan were expected to retain a compact, defence-first structure featuring Abdukodir Khusanov, but changes after the Colombia loss and June 23 match were unavailable.","Group K as of June 21: Congo DR 1 pt, GD 0; Uzbekistan 0 pts, GD -2. Both still had June 23 matches, so the exact June 27 qualification requirement was unavailable. The match could decide second place or a best-third-place route.","Atlanta Stadium is Mercedes-Benz Stadium, a retractable-roof, climate-controlled venue, with a 22:00 local kickoff. Roof status and a reliable external forecast were unavailable; a closed roof would limit direct heat and storm exposure.","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.nypost.com/2026/06/10/sports/world-cup-2026-group-k-preview-prediction-odds-full-team-overviews/ | https://www.starsandstripesfc.com/copa-america/44201/2026-world-cup-group-k-preview | https://www.fourfourtwo.com/team/uzbekistan-world-cup-2026-squad | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide","2026-06-21T23:59:00-05:00",medium-low
